Time,CAN2_CPC_C12_HiResAccelPdlPosn_Cval_t7
135.096491378,0.0
135.106494782,0.0
135.11649228,0.0
135.126495793,0.0
135.1364899,0.0
135.146505007,0.0
135.156495708,0.0
135.166494721,0.0
135.176490016,0.0
135.186493419,0.0
135.196493136,0.0
135.20649254,0.0
135.21649174,0.0
135.226497754,0.0
135.236492658,0.0
135.246503156,0.0
135.256491653,0.0
135.266495464,0.0
135.276494867,0.0
135.286496678,0.0
135.296490394,0.0
135.306505986,0.0
135.316492796,0.0
135.326500903,0.0
135.336492103,0.0
135.346508414,0.0
135.356495724,0.0
135.366490924,0.0
135.376492032,0.0
135.386493639,0.0
135.396493542,0.0
135.406492946,0.0
135.416489351,0.0
135.426498551,0.0
135.436493158,0.0
135.446503078,0.0
135.456490981,0.0
135.466492073,0.0
135.47649279,0.0
135.486494287,0.0
135.496490004,0.0
135.506493002,0.0
135.516492514,0.0
135.526494418,0.0
135.536491916,0.0
135.546506321,0.0
135.556494036,0.0
135.566490534,0.0
135.576489938,0.0
135.586496045,0.0
135.596493059,0.0
135.606493056,0.0
135.616489757,0.0
135.626497567,0.0
135.636493783,0.0
135.646505281,0.0
135.656491482,0.0
135.666491089,0.0
135.676493399,0.0
135.68649221,0.0
135.69649391,0.0
135.706493814,0.0
135.716493515,0.0
135.726495325,0.0
135.736491729,0.0
135.746507946,0.0
135.756495849,0.0
135.766499941,0.0
135.776494954,0.0
135.786510265,0.0
135.796631968,0.0
135.80653737,0.0
135.816505273,0.0
135.826506489,0.0
135.836507689,0.0
135.846513186,0.0
135.856641498,0.0
135.866495303,0.0
135.876494299,0.0
135.886494906,0.0
135.89649062,0.0
135.906496414,0.0
135.916626523,0.0
135.926499531,0.0
135.936491527,0.0
135.94649593,0.0
135.956495442,0.0
135.966494047,0.0
135.976620844,0.0
135.986493447,0.0
135.996493349,0.0
136.006492455,0.0
136.016491561,0.0
136.026497073,0.0
136.036627869,0.0
136.046503175,0.0
136.056495484,0.0
136.06649409,0.0
136.076502195,0.0
136.086495395,0.0
136.096631097,0.0
136.1064952,0.0
136.116494306,0.0
136.126498318,0.0
136.136492517,0.0
136.146506311,0.0
136.156639716,0.0
136.166490224,0.0
136.17649233,0.0
136.18649453,0.0
136.196496745,0.0
136.206494648,0.0
136.216491347,0.0
136.226497562,0.0
136.236493762,0.0
136.246505758,0.0
136.25649277,0.0
136.26649297,0.0
136.276494872,0.0
136.286497977,0.0
136.296499287,0.0
136.306507595,0.0
136.316494794,0.0
136.326498588,0.0
136.336494397,0.0
136.346509409,0.0
136.356495015,0.0
136.366493511,0.0
136.376490913,0.0
136.386495019,0.0
136.396493531,0.0
136.406493027,0.0
136.416491337,0.0
136.426497739,0.0
136.436493141,0.0
136.446506247,0.0
136.456492353,0.0
136.466491755,0.0
136.476494252,0.0
136.486492264,0.0
136.496493775,0.0
136.506492866,0.0
136.516492378,0.0
136.526496983,0.0
136.53649198,0.0
136.546507882,0.0
136.556495488,0.0
136.566492203,0.0
136.576491606,0.0
136.586494211,0.0
136.596493114,0.0
136.60649522,0.0
136.616491622,0.0
136.626497728,0.0
136.636494224,0.0
136.646504128,0.0
136.656493233,0.0
136.666491448,0.0
136.67649385,0.0
136.686494847,0.0
136.696493749,0.0
136.706497355,0.0
136.71649557,0.0
136.726497473,0.0
136.736493875,0.0
136.746506872,0.0
136.75649618,0.0
136.766500395,0.0
136.776494095,0.0
